Merchant,Cleaned Name,Count,Amounts,Category,Cancel?
service,Service,18,"$1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42",Suspicious,YES
support,Support,8,,Unknown,YES
invoice+statements+acct_19oslMAeI6xzWtuT,Invoice,6,,Billing,YES
noreply,Noreply,6,"$33.90, $33.90",Notifications,
azure,Azure,4,"$0.01, $0.01, $0.01, $0.01",Suspicious,YES
receipts+acct_1CN6KnHRxJkb56aO,Generic Receipt,4,,Billing,YES
invoice+statements+acct_19GUtLFhpvUAmyxP,Invoice,4,,Billing,YES
help,Help,4,"$1.12, $1.12, $1.12, $1.12",Suspicious,YES
automatic-notifications+recovery,Automatic-Notifications,4,"$1.12, $1.12, $1.12, $1.12",Suspicious,YES
ishoukry,Tshoukry,4,,Unknown,YES
invoice+statements+acct_1M07hSLmdOdiMXBs,Invoice,2,,Billing,YES
receipts+acct_1KLZG6LeeX2jf1uK,Generic Receipt,2,,Billing,YES
bg,Bg,2,,Unknown,YES
nadia,Nadia,2,,Unknown,YES
donotreply,Donotreply,2,"$0.91, $0.91",Suspicious,YES
arobb,Arobb,2,,Unknown,YES
notifications,Notifications,2,,Notifications,YES
noreply+109279,Noreply,2,,Notifications,YES
billing+acct_1M07hSLmdOdiMXBs,Billing,2,,Unknown,YES
