Merchant,Count,Amounts
service,18,"$1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42"
support,8,
invoice+statements+acct_19oslMAeI6xzWtuT,6,
noreply,6,"$33.90, $33.90"
azure,4,"$0.01, $0.01, $0.01, $0.01"
receipts+acct_1CN6KnHRxJkb56aO,4,
invoice+statements+acct_19GUtLFhpvUAmyxP,4,
help,4,"$1.12, $1.12, $1.12, $1.12"
automatic-notifications+recovery,4,"$1.12, $1.12, $1.12, $1.12"
ishoukry,4,
invoice+statements+acct_1M07hSLmdOdiMXBs,2,
receipts+acct_1KLZG6LeeX2jf1uK,2,
bg,2,
nadia,2,
donotreply,2,"$0.91, $0.91"
arobb,2,
notifications,2,
